Student_Unique_ID,Age,Gender,Home_Location,Family_Income,Attendance_Rate,Study_Hours,Past_Failures,Previous_Score,Exam_Score,Internet_Access,Sleep_Hours,Motivation_Level,Peer_Influence,Smoking_Habits,Alcohol_Use,Sports_Participation,Cultural_Activities,Club_Membership,Leadership_Role,Volunteer_Hours,Competitions_Attended,Awards_Received,Creative_Projects,Performance_Label,Region,Class,Section,Parental_Education_Level,Parental_Occupation,Study_Environment,Access_to_Tutoring,Mental_Health_Status,Nutrition_Quality,Transport_Mode,Device_Availability
S10_N_A_0014,15,Male,Suburban,Medium,91.68,1.2,3,69.26,44.72,Yes,6.4,Medium,Negative,No,Yes,No,Yes,Yes,Yes,4,5,1,4,High,North,10th,A,High School,Farmer,Shared,No,Stressed,Average,Car,No
S7_E_B_0004,13,Female,Rural,Low,77.24,2.7,0,73.26,57.88,Yes,8.7,High,Positive,No,Yes,Yes,Yes,No,No,12,6,0,2,Low,East,7th,B,,Farmer,Noisy,Yes,Stressed,Poor,Car,Yes
S10_W_B_0007,15,Male,Suburban,High,91.7,2.2,0,76.14,95.08,No,7.6,Low,Negative,Yes,No,Yes,Yes,No,No,11,7,2,1,Low,West,10th,B,High School,Farmer,Noisy,Yes,Anxious,Poor,Walk,No
S12_W_A_0007,17,Male,Urban,Medium,88.01,2.3,3,69.98,78.31,Yes,5.6,High,Positive,Yes,Yes,No,Yes,Yes,No,0,2,4,0,Medium,West,12th,A,Master,Engineer,Quiet,No,Stressed,Average,Cycle,No
S6_S_C_0009,12,Male,Rural,Low,90.66,1.2,2,99.47,64.47,No,5.3,Medium,Neutral,No,No,No,No,No,Yes,2,4,0,2,Medium,South,6th,C,,Teacher,Noisy,No,Stressed,Poor,Walk,No
S9_N_A_0014,14,Female,Urban,High,92.75,2.0,2,49.86,73.07,No,8.3,Low,Neutral,No,No,No,No,Yes,No,14,6,0,2,Medium,North,9th,A,Master,Farmer,Shared,Yes,Stressed,Good,Bus,Yes
S9_N_B_0004,14,Female,Rural,High,81.36,4.7,2,67.66,69.89,No,4.8,Low,Negative,Yes,Yes,Yes,Yes,Yes,Yes,11,9,3,4,Low,North,9th,B,High School,Farmer,Noisy,No,Stable,Good,Cycle,No
S7_W_C_0012,13,Male,Urban,Low,82.7,4.2,3,81.29,87.42,No,8.0,Low,Neutral,Yes,Yes,No,No,Yes,No,5,6,2,1,High,West,7th,C,,Farmer,Quiet,No,Stressed,Good,Cycle,Yes
S12_W_C_0007,17,Male,Suburban,Medium,93.86,1.8,1,92.79,68.06,No,7.1,High,Neutral,No,No,No,Yes,No,No,6,8,3,1,Medium,West,12th,C,Master,Teacher,Shared,No,Stressed,Good,Car,No
S8_E_A_0013,13,Female,Suburban,Low,96.67,1.3,0,74.1,83.42,No,7.0,High,Positive,Yes,Yes,Yes,No,Yes,No,7,0,4,4,High,East,8th,A,Bachelor,Teacher,Noisy,No,Stressed,Average,Cycle,No
S8_W_D_0009,14,Male,Urban,Medium,93.73,4.0,1,59.76,81.82,Yes,7.7,Low,Negative,No,No,No,Yes,No,No,5,2,3,3,Low,West,8th,D,Master,Engineer,Noisy,No,Stable,Good,Car,No
S6_S_C_0010,12,Female,Rural,Medium,87.75,5.2,0,61.64,72.34,Yes,4.4,High,Positive,Yes,Yes,No,Yes,Yes,No,15,0,1,3,Medium,South,6th,C,,Engineer,Shared,Yes,Stressed,Poor,Car,Yes
S11_E_D_0009,16,Male,Suburban,High,84.78,2.8,2,53.71,46.17,No,7.8,Medium,Neutral,No,No,Yes,Yes,No,No,11,0,2,3,Medium,East,11th,D,,Engineer,Quiet,Yes,Stressed,Poor,Bus,No
S7_E_A_0011,13,Male,Suburban,Low,83.42,4.5,2,81.4,79.13,No,4.5,Medium,Positive,Yes,No,No,Yes,Yes,No,18,1,4,3,Low,East,7th,A,High School,Teacher,Quiet,Yes,Stressed,Poor,Car,Yes
S11_E_A_0006,16,Female,Urban,High,88.44,2.0,2,70.76,65.27,Yes,5.5,High,Positive,Yes,Yes,Yes,Yes,Yes,Yes,10,4,4,3,High,East,11th,A,,Unemployed,Shared,Yes,Anxious,Poor,Car,No
S12_S_B_0007,17,Female,Suburban,Low,98.47,3.0,1,55.42,43.79,No,7.4,Medium,Negative,No,Yes,No,No,No,No,17,9,1,3,Low,South,12th,B,,Farmer,Shared,Yes,Anxious,Average,Cycle,No
S8_S_D_0006,13,Female,Urban,Low,93.9,2.3,2,69.56,51.17,No,7.4,High,Negative,No,Yes,No,No,No,Yes,4,7,0,4,Medium,South,8th,D,Master,Engineer,Quiet,No,Anxious,Good,Car,Yes
S7_W_C_0013,12,Male,Rural,Medium,90.53,3.2,2,84.76,74.91,No,4.7,High,Positive,No,Yes,Yes,No,No,No,1,2,0,1,Low,West,7th,C,High School,Unemployed,Quiet,No,Anxious,Good,Cycle,Yes
S6_W_D_0009,12,Male,Rural,High,91.99,2.9,1,54.38,87.28,Yes,4.5,Low,Neutral,No,Yes,No,Yes,Yes,No,1,1,1,2,Medium,West,6th,D,Master,Teacher,Quiet,Yes,Anxious,Good,Walk,No
S10_N_B_0008,15,Female,Urban,High,97.3,4.3,1,77.18,93.73,No,4.3,High,Positive,No,No,No,Yes,No,Yes,9,6,2,3,Medium,North,10th,B,Bachelor,Teacher,Shared,No,Anxious,Average,Walk,No
S11_S_B_0006,17,Male,Rural,Low,80.38,2.2,2,60.7,72.72,Yes,5.3,Medium,Negative,No,Yes,No,No,No,No,5,0,0,2,Low,South,11th,B,,Unemployed,Quiet,Yes,Anxious,Average,Cycle,No
S12_S_C_0007,17,Female,Rural,Medium,94.16,4.5,0,79.91,67.37,No,4.0,High,Neutral,Yes,Yes,Yes,No,Yes,No,5,2,3,0,High,South,12th,C,High School,Teacher,Noisy,No,Stable,Poor,Cycle,No
S8_S_C_0010,14,Female,Rural,High,83.33,2.5,2,55.38,65.74,Yes,8.4,Low,Negative,Yes,No,No,Yes,Yes,No,1,4,2,4,Low,South,8th,C,,Engineer,Noisy,Yes,Stable,Average,Bus,Yes
S9_S_B_0003,15,Female,Rural,High,83.47,2.7,0,64.56,85.51,No,4.2,Medium,Negative,Yes,No,No,No,Yes,Yes,17,1,2,1,Low,South,9th,B,,Unemployed,Noisy,No,Stable,Poor,Walk,Yes
S9_N_D_0011,14,Male,Urban,High,90.13,1.8,2,90.91,69.17,Yes,4.7,Low,Negative,No,No,Yes,No,Yes,Yes,10,5,1,3,High,North,9th,D,Bachelor,Farmer,Noisy,No,Stable,Poor,Car,No
S10_N_A_0015,15,Male,Suburban,High,87.46,1.7,0,49.45,79.18,No,4.5,High,Positive,Yes,Yes,Yes,Yes,No,Yes,17,4,0,2,Low,North,10th,A,Master,Farmer,Shared,Yes,Anxious,Poor,Car,No
S10_W_A_0008,16,Female,Rural,High,75.01,3.3,3,56.09,58.84,Yes,8.4,Low,Negative,No,No,Yes,No,No,Yes,0,6,0,0,Low,West,10th,A,,Engineer,Shared,No,Anxious,Poor,Walk,No
S8_N_A_0008,13,Male,Rural,High,91.03,1.9,0,87.13,81.84,Yes,6.2,Low,Negative,No,No,No,Yes,No,Yes,18,0,2,2,Low,North,8th,A,Bachelor,Unemployed,Quiet,No,Stable,Average,Bus,No
S11_E_C_0005,16,Male,Suburban,Medium,94.7,2.2,2,58.46,60.21,No,4.5,Low,Negative,Yes,Yes,No,No,Yes,No,13,2,4,4,Low,East,11th,C,High School,Teacher,Noisy,No,Anxious,Average,Bus,No
S11_N_D_0008,16,Female,Rural,Low,75.36,3.1,1,88.06,70.17,No,7.1,High,Positive,No,No,Yes,No,Yes,Yes,8,6,1,3,Medium,North,11th,D,Bachelor,Teacher,Shared,No,Anxious,Average,Car,Yes
S7_N_A_0009,13,Male,Suburban,High,89.79,2.2,3,41.3,83.67,No,5.5,Low,Positive,No,Yes,Yes,Yes,Yes,Yes,2,4,1,2,Medium,North,7th,A,Master,Teacher,Noisy,Yes,Stable,Average,Walk,Yes
S7_W_A_0008,13,Female,Suburban,High,96.56,3.3,0,53.63,59.03,Yes,4.3,Medium,Negative,No,No,Yes,Yes,Yes,Yes,19,4,4,2,Low,West,7th,A,,Teacher,Shared,No,Stable,Good,Walk,No
S8_N_D_0009,13,Male,Suburban,High,99.81,4.9,3,60.7,64.14,No,6.4,High,Negative,No,Yes,No,No,No,No,16,3,1,2,Medium,North,8th,D,High School,Teacher,Quiet,No,Stressed,Average,Car,No
S7_S_A_0008,13,Female,Suburban,Low,84.18,2.2,0,45.63,74.31,Yes,8.2,High,Neutral,Yes,Yes,No,No,Yes,Yes,2,8,3,0,High,South,7th,A,High School,Engineer,Shared,No,Anxious,Good,Car,Yes
S11_W_A_0008,16,Male,Rural,Medium,77.66,3.4,3,50.18,74.17,No,8.5,High,Positive,No,Yes,Yes,Yes,No,Yes,7,2,1,1,High,West,11th,A,,Farmer,Noisy,No,Stable,Poor,Walk,No
S11_S_A_0006,16,Female,Urban,High,93.51,3.8,0,54.72,93.24,Yes,4.9,Low,Neutral,Yes,Yes,No,Yes,No,No,19,8,4,4,Low,South,11th,A,High School,Farmer,Noisy,Yes,Stressed,Good,Walk,No
S9_S_C_0010,14,Female,Rural,Low,88.62,2.7,2,75.89,82.66,Yes,8.1,Medium,Neutral,No,No,No,Yes,Yes,No,11,7,1,0,High,South,9th,C,High School,Farmer,Noisy,Yes,Anxious,Poor,Walk,No
S7_N_C_0003,13,Female,Suburban,High,95.0,4.6,3,41.39,81.63,No,7.1,High,Positive,Yes,Yes,No,Yes,No,No,12,4,1,4,High,North,7th,C,Bachelor,Farmer,Shared,No,Stressed,Average,Bus,Yes
S9_S_B_0004,15,Male,Urban,Low,77.7,5.9,0,45.63,82.72,Yes,4.5,Low,Neutral,Yes,No,No,No,No,No,1,4,3,1,High,South,9th,B,Bachelor,Teacher,Shared,Yes,Stressed,Poor,Bus,Yes
S9_N_C_0010,15,Male,Urban,Low,77.21,4.0,1,87.75,47.69,Yes,7.7,Medium,Neutral,No,Yes,Yes,No,Yes,No,13,9,2,3,High,North,9th,C,Bachelor,Unemployed,Shared,No,Stable,Poor,Car,No
S11_W_C_0008,16,Female,Rural,High,82.73,4.1,3,42.55,96.97,Yes,7.8,Low,Neutral,No,Yes,No,No,Yes,Yes,9,1,2,3,Low,West,11th,C,High School,Teacher,Quiet,Yes,Stressed,Good,Cycle,No
S9_S_C_0011,15,Female,Suburban,Low,92.55,2.0,1,61.82,77.14,Yes,6.2,Medium,Positive,No,No,Yes,No,Yes,No,11,0,1,3,Medium,South,9th,C,Bachelor,Teacher,Shared,No,Stressed,Average,Car,Yes
S9_E_C_0007,14,Male,Suburban,Low,97.36,5.3,3,52.41,90.97,No,7.0,Low,Negative,No,No,Yes,Yes,No,No,13,9,0,4,Medium,East,9th,C,,Unemployed,Quiet,No,Stable,Average,Bus,No
S11_E_C_0006,17,Male,Suburban,Low,75.47,3.1,2,53.75,96.55,No,4.2,Medium,Positive,No,Yes,Yes,Yes,Yes,No,6,0,4,2,High,East,11th,C,Bachelor,Engineer,Quiet,Yes,Stable,Average,Bus,No
S9_N_C_0011,15,Male,Rural,Medium,76.23,5.6,2,47.63,97.16,Yes,7.6,Medium,Negative,Yes,No,Yes,No,No,Yes,1,2,3,4,Medium,North,9th,C,Bachelor,Farmer,Shared,Yes,Stable,Poor,Walk,Yes
S10_N_C_0011,15,Male,Urban,High,79.96,1.0,2,43.98,87.26,No,4.1,Medium,Positive,Yes,Yes,No,Yes,No,No,17,2,1,3,Low,North,10th,C,,Farmer,Noisy,No,Stressed,Good,Bus,Yes
S11_S_A_0007,16,Female,Rural,Medium,92.56,5.2,3,76.07,97.28,Yes,5.3,Medium,Negative,Yes,No,No,Yes,Yes,Yes,7,6,1,1,Low,South,11th,A,Master,Farmer,Shared,Yes,Stressed,Poor,Bus,Yes
S6_W_B_0012,12,Male,Suburban,High,96.13,2.1,1,74.32,60.24,Yes,8.5,High,Negative,No,Yes,No,No,No,No,17,6,2,2,High,West,6th,B,Master,Teacher,Quiet,Yes,Anxious,Average,Walk,Yes
S12_S_B_0008,17,Female,Rural,Low,95.79,5.3,3,98.03,91.06,No,6.4,Medium,Neutral,No,Yes,No,Yes,Yes,No,8,0,0,4,High,South,12th,B,Bachelor,Unemployed,Quiet,No,Anxious,Good,Bus,No
S7_E_B_0005,13,Female,Suburban,Low,82.57,3.0,2,99.82,69.46,No,8.6,High,Neutral,No,Yes,Yes,No,No,No,14,1,4,3,Low,East,7th,B,Bachelor,Teacher,Noisy,Yes,Anxious,Poor,Cycle,No
S7_S_D_0008,13,Female,Suburban,Medium,85.37,4.5,1,65.32,90.15,No,5.5,Medium,Negative,No,No,No,Yes,No,No,16,2,3,3,Low,South,7th,D,Master,Farmer,Noisy,Yes,Stressed,Good,Cycle,No
S12_E_A_0012,17,Male,Rural,High,90.86,3.1,3,90.58,88.16,Yes,7.4,Low,Neutral,No,No,Yes,No,No,No,0,5,0,2,Low,East,12th,A,,Engineer,Noisy,No,Stressed,Good,Walk,Yes
S9_E_D_0006,14,Male,Suburban,Low,76.8,1.9,1,56.81,55.52,No,8.6,High,Neutral,Yes,Yes,No,Yes,No,No,12,0,2,4,High,East,9th,D,Bachelor,Teacher,Shared,No,Anxious,Poor,Walk,No
S6_N_A_0004,11,Male,Rural,Medium,91.5,2.6,2,93.88,92.22,Yes,4.4,Medium,Neutral,No,No,Yes,No,Yes,Yes,16,9,0,2,Low,North,6th,A,Master,Unemployed,Shared,No,Stressed,Poor,Cycle,Yes
S7_E_A_0012,12,Male,Suburban,High,92.31,3.8,1,68.22,68.91,Yes,7.8,Low,Positive,Yes,No,No,Yes,No,No,7,2,2,4,High,East,7th,A,Master,Engineer,Noisy,No,Stable,Good,Bus,No
S7_E_A_0013,13,Male,Suburban,Medium,95.46,1.9,3,61.61,93.26,Yes,4.8,High,Neutral,No,No,No,No,Yes,Yes,4,3,1,4,Low,East,7th,A,Bachelor,Engineer,Noisy,No,Anxious,Good,Walk,Yes
S10_E_B_0006,16,Male,Suburban,Medium,98.89,2.9,0,55.7,84.48,No,6.9,Low,Neutral,Yes,No,No,No,Yes,No,11,4,1,1,High,East,10th,B,Master,Unemployed,Noisy,Yes,Stressed,Poor,Walk,No
S6_W_D_0010,12,Male,Urban,High,83.8,5.5,3,80.36,46.96,No,4.8,High,Neutral,No,Yes,No,Yes,Yes,No,5,0,4,2,Medium,West,6th,D,High School,Engineer,Shared,No,Anxious,Average,Bus,Yes
S12_W_A_0008,17,Male,Rural,Low,90.02,4.1,2,83.75,92.9,Yes,6.4,Low,Positive,No,Yes,No,No,No,Yes,18,1,2,2,Medium,West,12th,A,Master,Farmer,Quiet,Yes,Anxious,Poor,Car,Yes
S12_N_D_0006,17,Male,Rural,Medium,95.41,2.2,0,98.73,58.78,Yes,4.3,Medium,Negative,No,Yes,Yes,Yes,No,Yes,10,3,0,1,High,North,12th,D,Bachelor,Teacher,Noisy,Yes,Stressed,Good,Walk,No
S9_S_C_0012,14,Female,Suburban,High,75.59,2.8,3,76.72,59.1,Yes,8.8,High,Negative,No,Yes,Yes,Yes,No,Yes,16,3,4,0,Low,South,9th,C,High School,Farmer,Shared,No,Stable,Good,Car,Yes
S7_E_C_0008,13,Female,Suburban,Low,91.92,3.3,0,47.76,81.05,Yes,8.3,Medium,Positive,Yes,No,Yes,Yes,Yes,No,6,7,1,2,Low,East,7th,C,Bachelor,Teacher,Quiet,No,Stressed,Average,Cycle,Yes
S12_W_B_0010,17,Female,Urban,High,99.09,1.9,3,95.2,43.38,No,5.2,Medium,Positive,Yes,No,No,Yes,No,No,6,0,4,0,High,West,12th,B,,Teacher,Quiet,Yes,Anxious,Average,Car,Yes
S7_S_C_0010,12,Female,Suburban,Medium,83.71,5.6,0,49.04,97.42,Yes,9.0,High,Neutral,Yes,No,No,Yes,No,Yes,4,4,1,1,High,South,7th,C,Bachelor,Unemployed,Quiet,Yes,Anxious,Average,Bus,No
S6_W_B_0013,12,Male,Suburban,Low,99.22,4.4,2,64.47,82.27,Yes,6.4,High,Positive,No,Yes,Yes,No,No,Yes,19,9,3,4,Low,West,6th,B,,Farmer,Quiet,Yes,Stable,Good,Bus,No
S10_N_C_0012,15,Male,Urban,Medium,86.9,1.4,0,95.07,73.36,Yes,8.9,High,Neutral,No,No,No,Yes,No,No,5,6,0,3,High,North,10th,C,Master,Farmer,Noisy,Yes,Stable,Average,Car,No
S11_S_D_0006,16,Female,Urban,Low,96.71,5.0,1,57.94,68.16,No,5.1,Low,Neutral,No,No,No,Yes,No,Yes,5,0,4,0,Low,South,11th,D,,Teacher,Quiet,No,Stressed,Poor,Walk,Yes
S9_S_B_0005,15,Male,Rural,Low,87.3,5.4,1,83.52,79.08,No,4.3,Medium,Neutral,Yes,Yes,Yes,Yes,Yes,Yes,9,9,3,4,Medium,South,9th,B,Master,Teacher,Quiet,Yes,Anxious,Average,Walk,No
S6_W_C_0005,12,Male,Urban,Low,75.73,2.8,1,82.72,54.31,Yes,8.0,Medium,Negative,No,No,No,Yes,No,No,17,9,4,1,High,West,6th,C,High School,Farmer,Quiet,Yes,Stressed,Poor,Walk,Yes
S7_E_A_0014,12,Male,Rural,High,82.12,1.7,2,63.84,42.15,Yes,9.0,High,Positive,Yes,Yes,No,No,No,No,7,9,0,2,Low,East,7th,A,Bachelor,Engineer,Noisy,No,Stable,Average,Cycle,No
S10_S_B_0011,16,Female,Urban,Low,85.31,3.2,2,52.74,66.75,Yes,5.5,Medium,Negative,No,No,No,Yes,Yes,No,6,5,3,3,Low,South,10th,B,Bachelor,Engineer,Shared,No,Anxious,Average,Cycle,No
S9_S_B_0006,14,Male,Rural,High,83.45,3.8,2,40.23,76.51,Yes,8.6,Low,Negative,No,No,Yes,No,No,Yes,1,5,0,0,Medium,South,9th,B,High School,Unemployed,Quiet,No,Stressed,Average,Cycle,Yes
S11_W_C_0009,17,Female,Rural,Low,78.46,4.1,3,66.8,98.69,Yes,7.1,Low,Positive,No,Yes,No,Yes,No,Yes,12,6,2,3,Low,West,11th,C,Bachelor,Teacher,Noisy,No,Anxious,Average,Car,No
S12_S_D_0006,17,Male,Urban,Low,88.55,1.8,0,77.57,53.76,Yes,6.4,Low,Positive,Yes,No,Yes,Yes,No,Yes,13,0,1,4,Medium,South,12th,D,Bachelor,Engineer,Shared,Yes,Stable,Poor,Cycle,Yes
S9_S_C_0013,14,Male,Rural,Medium,84.14,5.9,0,97.29,65.33,Yes,6.5,High,Negative,Yes,Yes,Yes,No,No,Yes,19,9,0,3,High,South,9th,C,,Farmer,Shared,Yes,Stable,Poor,Cycle,Yes
S11_E_A_0007,17,Female,Rural,Medium,89.34,1.9,2,93.53,93.32,No,4.9,High,Negative,No,Yes,Yes,Yes,Yes,Yes,10,4,0,0,Low,East,11th,A,Bachelor,Unemployed,Noisy,No,Stressed,Poor,Car,No
S6_E_B_0006,12,Male,Urban,Medium,88.0,1.3,2,51.99,81.85,No,7.5,High,Neutral,No,Yes,No,Yes,Yes,Yes,11,3,4,0,Medium,East,6th,B,High School,Farmer,Shared,Yes,Stable,Average,Bus,Yes
S10_W_B_0008,15,Male,Urban,Low,96.23,4.0,3,89.85,54.91,Yes,6.2,High,Positive,No,Yes,No,No,Yes,No,7,5,4,2,High,West,10th,B,Bachelor,Engineer,Quiet,Yes,Stressed,Good,Car,Yes
S10_W_C_0012,15,Female,Suburban,Medium,95.41,3.8,2,72.43,80.91,Yes,8.5,Low,Neutral,No,No,No,No,No,Yes,5,1,2,4,Low,West,10th,C,Master,Unemployed,Quiet,No,Anxious,Good,Bus,Yes
S10_E_C_0009,15,Male,Suburban,Medium,88.69,3.6,0,92.08,88.62,No,5.0,High,Negative,No,No,No,No,Yes,Yes,15,1,2,1,High,East,10th,C,Master,Unemployed,Shared,Yes,Anxious,Poor,Cycle,No
S11_S_B_0007,17,Male,Urban,Medium,76.96,2.0,3,64.24,50.23,No,5.5,Low,Neutral,No,Yes,Yes,Yes,No,Yes,3,3,3,2,Low,South,11th,B,High School,Teacher,Noisy,Yes,Anxious,Poor,Car,No
S10_S_C_0009,15,Male,Suburban,Medium,94.42,4.6,3,99.14,99.64,No,8.8,Low,Positive,No,Yes,Yes,No,Yes,Yes,16,6,0,3,Medium,South,10th,C,Master,Unemployed,Shared,No,Stressed,Good,Walk,Yes
S10_N_A_0016,15,Male,Suburban,Medium,77.26,4.5,0,44.29,64.82,Yes,4.5,Low,Positive,Yes,Yes,No,Yes,Yes,No,1,1,1,2,High,North,10th,A,High School,Farmer,Shared,Yes,Anxious,Good,Car,Yes
S10_S_A_0008,15,Male,Urban,High,83.35,4.3,0,58.4,60.7,Yes,4.3,Medium,Neutral,Yes,Yes,Yes,Yes,No,No,4,6,2,0,High,South,10th,A,Bachelor,Unemployed,Quiet,No,Stable,Average,Walk,No
S9_E_C_0008,14,Female,Urban,Medium,98.24,4.4,3,87.11,69.73,Yes,6.0,Low,Neutral,Yes,No,No,Yes,No,No,3,9,2,0,Medium,East,9th,C,,Engineer,Quiet,No,Stable,Average,Walk,No
S9_E_B_0013,14,Male,Rural,Medium,97.35,3.9,3,41.31,94.2,Yes,7.6,Medium,Neutral,Yes,Yes,No,Yes,Yes,Yes,14,0,0,1,Medium,East,9th,B,Bachelor,Engineer,Shared,Yes,Stressed,Good,Walk,No
S7_N_D_0009,12,Female,Rural,Medium,82.32,1.1,3,54.25,47.25,No,6.1,Medium,Neutral,No,Yes,No,No,Yes,Yes,3,8,2,3,Low,North,7th,D,Master,Engineer,Shared,No,Anxious,Poor,Bus,No
S9_E_D_0007,14,Male,Urban,Medium,97.28,5.0,1,89.69,67.85,Yes,5.4,Low,Neutral,Yes,No,No,Yes,Yes,Yes,4,4,1,1,Low,East,9th,D,High School,Teacher,Shared,Yes,Stable,Average,Bus,No
S11_E_B_0006,16,Female,Rural,High,91.29,5.1,2,66.55,64.31,Yes,4.4,High,Neutral,Yes,Yes,Yes,Yes,Yes,No,11,1,4,0,Medium,East,11th,B,High School,Engineer,Shared,Yes,Stable,Good,Car,Yes
S9_S_C_0014,14,Male,Suburban,High,95.34,1.7,2,55.37,60.99,Yes,5.3,Low,Neutral,No,Yes,Yes,Yes,No,No,19,6,2,1,High,South,9th,C,Bachelor,Unemployed,Noisy,Yes,Stressed,Good,Cycle,No
S12_W_B_0011,17,Female,Suburban,Low,77.89,5.3,1,94.86,74.51,No,5.3,Medium,Negative,Yes,No,Yes,Yes,No,No,7,5,4,3,Medium,West,12th,B,,Unemployed,Quiet,Yes,Stable,Poor,Walk,Yes
S12_S_B_0009,17,Male,Urban,Low,95.6,5.3,3,63.77,42.41,No,6.8,Medium,Negative,Yes,No,Yes,No,Yes,No,13,0,0,3,Low,South,12th,B,,Engineer,Shared,No,Stressed,Average,Cycle,No
S10_S_C_0010,15,Male,Urban,Medium,75.08,3.4,2,68.92,56.02,Yes,6.8,Low,Positive,Yes,No,Yes,No,No,Yes,7,1,3,1,Low,South,10th,C,Master,Unemployed,Shared,Yes,Stable,Poor,Car,No
S6_E_C_0015,12,Male,Suburban,Low,88.61,4.0,1,63.31,59.72,No,6.2,High,Neutral,No,No,No,No,Yes,Yes,17,5,4,3,High,East,6th,C,Bachelor,Farmer,Noisy,Yes,Anxious,Average,Walk,No
S6_W_A_0008,12,Female,Suburban,High,85.73,2.8,3,74.13,44.67,Yes,6.6,High,Negative,No,No,No,No,Yes,No,0,2,2,3,High,West,6th,A,Bachelor,Farmer,Noisy,Yes,Stressed,Good,Car,Yes
S8_W_A_0008,13,Female,Suburban,High,89.55,3.9,2,42.6,56.52,Yes,8.1,Low,Negative,No,No,No,No,Yes,No,19,2,2,0,Low,West,8th,A,Master,Engineer,Quiet,Yes,Anxious,Good,Walk,Yes
S6_N_C_0007,12,Male,Urban,Medium,78.0,5.2,2,59.43,97.6,Yes,6.1,High,Positive,No,Yes,No,No,Yes,Yes,3,2,1,4,High,North,6th,C,,Unemployed,Quiet,Yes,Stable,Poor,Car,Yes
S6_S_B_0009,12,Female,Urban,High,88.63,4.4,1,70.33,86.73,Yes,8.0,High,Neutral,No,No,Yes,Yes,No,Yes,17,4,3,0,Low,South,6th,B,,Engineer,Shared,No,Anxious,Good,Walk,No
S8_S_B_0005,13,Male,Suburban,Medium,93.13,3.0,1,99.08,41.92,Yes,8.5,Low,Negative,No,No,Yes,Yes,Yes,No,8,8,1,4,High,South,8th,B,Master,Engineer,Noisy,No,Stable,Poor,Bus,Yes
S7_N_D_0010,13,Female,Suburban,Low,78.22,2.2,2,74.62,51.28,Yes,7.1,Medium,Negative,Yes,No,No,No,Yes,Yes,9,9,4,2,Low,North,7th,D,,Unemployed,Quiet,Yes,Anxious,Average,Bus,Yes
S8_S_A_0010,14,Male,Urban,Medium,76.05,2.8,2,95.77,44.99,No,4.0,High,Negative,Yes,No,Yes,No,No,Yes,10,2,0,0,Low,South,8th,A,Bachelor,Unemployed,Noisy,No,Stressed,Average,Walk,Yes
S8_S_A_0011,14,Male,Rural,Medium,93.57,3.5,0,44.04,97.49,No,8.2,Medium,Negative,No,Yes,Yes,Yes,No,Yes,3,6,2,4,High,South,8th,A,High School,Teacher,Shared,No,Stable,Poor,Car,Yes
S10_N_C_0013,16,Female,Suburban,High,80.56,2.2,2,88.26,65.37,No,6.1,Low,Positive,No,Yes,Yes,No,No,No,12,7,3,3,Low,North,10th,C,Bachelor,Teacher,Noisy,No,Stable,Good,Bus,No
S12_W_A_0009,17,Male,Rural,Low,87.35,5.3,2,41.83,63.11,No,4.7,Medium,Neutral,Yes,No,No,Yes,No,No,11,1,2,4,High,West,12th,A,Master,Engineer,Noisy,No,Anxious,Poor,Walk,No
S12_E_B_0007,17,Male,Urban,Medium,81.56,3.7,1,94.55,41.49,Yes,4.5,High,Negative,Yes,Yes,Yes,No,Yes,Yes,12,9,2,3,Low,East,12th,B,High School,Teacher,Shared,Yes,Stressed,Good,Cycle,Yes
S11_S_D_0007,16,Female,Suburban,High,75.3,2.4,0,48.34,73.18,Yes,8.1,High,Negative,No,No,No,Yes,Yes,Yes,18,1,1,1,High,South,11th,D,Bachelor,Engineer,Noisy,No,Anxious,Average,Car,Yes
S9_E_B_0014,14,Male,Suburban,High,94.07,4.2,0,72.91,71.8,Yes,6.7,Medium,Neutral,Yes,No,No,No,Yes,Yes,13,3,1,0,Medium,East,9th,B,,Engineer,Quiet,Yes,Stressed,Poor,Bus,No
S11_E_C_0007,16,Male,Rural,Low,99.58,4.4,2,52.83,57.37,No,5.4,Low,Positive,No,Yes,Yes,Yes,No,No,2,0,0,3,Medium,East,11th,C,Master,Engineer,Noisy,Yes,Stable,Good,Car,Yes
S11_E_A_0008,16,Male,Urban,High,78.22,2.7,3,82.35,64.68,No,5.4,High,Negative,No,No,No,No,No,No,18,4,1,4,Low,East,11th,A,Master,Engineer,Noisy,No,Stable,Good,Car,No
S12_E_B_0008,17,Male,Urban,Medium,96.12,2.1,1,52.94,40.96,Yes,5.4,Medium,Negative,Yes,No,Yes,Yes,Yes,No,2,9,4,4,High,East,12th,B,High School,Teacher,Noisy,Yes,Anxious,Good,Cycle,No
S12_E_D_0011,17,Male,Suburban,High,79.55,3.5,0,63.21,61.54,Yes,5.8,Low,Positive,No,No,No,No,No,No,18,5,4,1,High,East,12th,D,High School,Farmer,Shared,Yes,Stressed,Good,Cycle,Yes
S6_S_C_0011,12,Female,Rural,Low,94.77,1.8,1,94.39,66.86,Yes,8.7,Medium,Negative,Yes,Yes,No,Yes,Yes,No,18,0,4,0,Low,South,6th,C,Bachelor,Farmer,Noisy,No,Stressed,Average,Car,Yes
S6_E_C_0016,11,Male,Rural,High,98.87,3.6,2,90.28,84.63,No,8.9,Low,Negative,Yes,No,No,No,Yes,Yes,8,6,1,3,Low,East,6th,C,Master,Engineer,Shared,No,Anxious,Average,Car,Yes
